timestamp_utc,experiment,gate,value,threshold,status,note
2026-07-31T22:03:42.921053+00:00,E0_E0b,E0.a_delta_not_absolute,"{""status"": ""validated_control_centred"", ""ratio"": 0.019403640180826187, ""fold_pct_error"": 3.191891195797325e-16, ""control_expr_coverage"": 0.9914263445050663, ""target_control_ref_r"": 0.9158658290358496, ""target_control_ref_mae"": 0.16747373658131562}",X target effect agrees with control_expr x fold_expr reference,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921063+00:00,E0_E0b,E0.c_orientation,"{""p_rows"": 2326, ""p_columns"": 7621, ""t_rows"": 5740, ""t_columns"": 7621, ""declared_n_perturbations"": 2326, ""declared_n_patients"": 5740}","P rows==n_perturbations, T rows==n_patients, both column counts==n_shared_genes",PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921072+00:00,E0_E0b,G1.2b_split_composition,"{""n_half_a"": 2863, ""n_half_b"": 2877, ""n_cancers"": 29, ""max_group_count_imbalance"": 1}",cancer-stratified; imbalance<=1,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921079+00:00,E0_E0b,G3.1_effective_rank_P,126.76085662841797,finite,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921083+00:00,E0_E0b,G3.2_dead_dimensions_P,0.0,report,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921087+00:00,E0_E0b,G3.3_duplicate_dimensions_P,0.0,report,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921091+00:00,E0_E0b,G3.4_sample_variation_P,2.4918007850646973,>0,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921094+00:00,E0_E0b,G3.5_site_degeneracy_P,unavailable_no_site_labels,"RECORDED OBSERVATION, NOT A TEST: no site labels in either input",PASS,"RPE1_signed_log1p; recorded observation, not a test"
2026-07-31T22:03:42.921105+00:00,E0_E0b,G3.6_norm_sanity_P,"{""mean"": 54.36405563354492, ""median"": 43.325157165527344, ""nonfinite"": 0}",zero nonfinite,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921110+00:00,E0_E0b,G3.1_effective_rank_T,113.78184509277344,finite,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921114+00:00,E0_E0b,G3.2_dead_dimensions_T,0.0,report,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921118+00:00,E0_E0b,G3.3_duplicate_dimensions_T,0.0,report,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921121+00:00,E0_E0b,G3.4_sample_variation_T,1.8851771354675293,>0,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921124+00:00,E0_E0b,G3.5_site_degeneracy_T,unavailable_no_site_labels,"RECORDED OBSERVATION, NOT A TEST: no site labels in either input",PASS,"RPE1_signed_log1p; recorded observation, not a test"
2026-07-31T22:03:42.921150+00:00,E0_E0b,G3.6_norm_sanity_T,"{""mean"": 77.27336883544922, ""median"": 73.8105697631836, ""nonfinite"": 0}",zero nonfinite,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921176+00:00,E0_E0b,E0b_full_dictionary_rank,"{""rank_mode"": ""full_cuda_svd_float64"", ""numerical_rank"": 2325, ""max_possible_rank"": 2326, ""rank_relative_tolerance"": 0.0010428428649902344, ""effective_rank"": 1894.214369923041, ""stable_rank"": 7.8260323426200324}","float64 spectrum with a max(n,p)*eps cut; finite ranks; rank <= min(n,p)",PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921180+00:00,E0_E0b,E0b_dictionary_coherence,0.8996405005455017,finite,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921183+00:00,E0_E0b,E0b_equivalence_classes,2326,>0,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921187+00:00,E0_E0b,E0b_guide_retrieval,available,available or explicit unavailable,PASS,RPE1_signed_log1p
